"year","rank_by_data_volume","Month 01 Device","Month 01 Data","Month 02 Device","Month 02 Data","Month 03 Device","Month 03 Data","Month 04 Device","Month 04 Data","Month 05 Device","Month 05 Data","Month 06 Device","Month 06 Data","Month 07 Device","Month 07 Data","Month 08 Device","Month 08 Data","Month 09 Device","Month 09 Data","Month 10 Device","Month 10 Data","Month 11 Device","Month 11 Data","Month 12 Device","Month 12 Data"
"2025",1,,,,,,,Rakuten WiFi Pocket 2C,339926.1830764979,Rakuten WiFi Pocket 2C,400222.70996156713,Apple iPhone 15 (A3089),391880.50218456896,,,,,,,,,,,,
"2025",2,,,,,,,R2314M-JP,309012.0322392574,Apple iPhone 15 (A3089),373243.8653704641,Rakuten WiFi Pocket 2C,376580.8252005202,,,,,,,,,,,,
"2025",3,,,,,,,Apple iPhone 15 (A3089),297721.442989908,R2314M-JP,368295.77691721293,R2314M-JP,357337.21740722633,,,,,,,,,,,,
"2025",4,,,,,,,Apple iPhone 14 (A2881),243389.35803613244,Apple iPhone 14 (A2881),296459.1049773182,Apple iPhone 14 (A2881),302873.3528515629,,,,,,,,,,,,
"2025",5,,,,,,,Rakuten WiFi Pocket Platinum,219789.55751399722,Rakuten WiFi Pocket Platinum,286547.3315681705,Rakuten WiFi Pocket Platinum,302808.97670410166,,,,,,,,,,,,
"2025",6,,,,,,,iPhone 13 (A2631),202248.98433072912,Apple iPhone 12 (A2402),240655.87944083932,iPhone 13 (A2631),241133.6399391273,,,,,,,,,,,,
"2025",7,,,,,,,Apple iPhone 12 (A2402),200969.85011425804,iPhone 13 (A2631),240186.01929876537,Apple iPhone 12 (A2402),233972.87546712178,,,,,,,,,,,,
"2025",8,,,,,,,Apple iPhone 15 Pro (A3101),141696.83568131487,Apple iPhone 16 (A3286),190897.81113974264,Apple iPhone 16 (A3286),210743.56327701747,,,,,,,,,,,,
"2025",9,,,,,,,Apple iPhone 16 (A3286),141396.01434179727,Apple iPhone 15 Pro (A3101),172190.70556987156,Apple iPhone 15 Pro (A3101),175627.53863964826,,,,,,,,,,,,
"2025",10,,,,,,,Apple iPhone SE (A2296),123523.66076953142,Apple iPhone 16 Pro (A3292),147471.09673954124,Apple iPhone 16 Pro (A3292),161233.31699023413,,,,,,,,,,,,
"2025",11,,,,,,,Apple iPhone 15 Pro Max (A3105),121870.78401855478,Apple iPhone 15 Pro Max (A3105),146987.31817666374,Apple iPhone 15 Pro Max (A3105),149749.85494498714,,,,,,,,,,,,
"2025",12,,,,,,,Apple iPhone 11 (A2221),119053.02554264326,Apple iPhone SE (A2296),142253.54725144894,Apple iPhone SE (A2296),136031.94017545573,,,,,,,,,,,,
"2025",13,,,,,,,Apple iPhone 16 Pro (A3292),111691.74283658854,Apple iPhone 11 (A2221),139607.24152847772,Apple iPhone 11 (A2221),135446.0183730469,,,,,,,,,,,,
"2025",14,,,,,,,Apple iPhone 13 (A2631),108385.2759957684,Apple iPhone 13 (A2631),130536.97448084694,Apple iPhone 13 (A2631),131776.59787207056,,,,,,,,,,,,
"2025",15,,,,,,,Apple iPhone 14 Pro (A2889),107043.51131217445,Apple iPhone 14 Pro (A2889),128510.1462055821,Apple iPhone 14 Pro (A2889),130034.79325813806,,,,,,,,,,,,
"2025",16,,,,,,,Apple iPhone 12 Pro (A2406),105088.04638834656,Apple iPhone 12 Pro (A2406),125950.86621692292,Apple iPhone 12 Pro (A2406),123468.27663639319,,,,,,,,,,,,
"2025",17,,,,,,,Apple iPhone 12 mini (A2398),102393.73107487032,Apple iPhone 12 mini (A2398),120541.34886466728,Apple iPhone 16 Pro Max (A3295),122806.88474283848,,,,,,,,,,,,
"2025",18,,,,,,,Apple iPhone 13 Pro (A2636),97655.2040175779,Apple iPhone 13 Pro (A2636),118000.11684601792,Apple iPhone 13 Pro (A2636),118910.26578385393,,,,,,,,,,,,
"2025",19,,,,,,,Apple iPhone 14 Pro Max (A2893),89053.17151074237,Apple iPhone 16 Pro Max (A3295),113846.06230563222,Apple iPhone 12 mini (A2398),115394.94303580752,,,,,,,,,,,,
"2025",20,,,,,,,Apple iPhone 16 Pro Max (A3295),86802.86242610675,Apple iPhone 14 Pro Max (A2893),107979.79993510588,Apple iPhone 14 Pro Max (A2893),109409.21629264335,,,,,,,,,,,,
